instance_name,timeout,gate_out,depth_out,num_swaps,beta,gamma,delta,order,seed
rd53_130,10,1197,638,154,5,10,0.5,6;5;0;3;2;1;4,3
rd53_130,10,1200,639,157,5,10,0.5,6;5;0;3;2;1;4,7
rd53_130,10,1156,622,113,5,10,0.5,6;5;0;3;2;1;4,8
rd53_130,10,1251,636,208,5,10,0.5,6;5;0;3;2;1;4,10
rd53_130,10,1218,641,175,5,10,0.5,6;5;0;3;2;1;4,9
rd53_130,10,1195,624,152,5,10,0.5,6;4;5;3;1;0;2,1
rd53_130,10,1201,635,158,5,10,0.5,6;4;5;3;1;0;2,2
rd53_130,10,1233,634,190,5,10,0.5,6;4;5;3;1;0;2,3
rd53_130,10,1233,632,190,5,10,0.5,6;4;5;3;1;0;2,4
rd53_130,10,1206,629,163,5,10,0.5,6;4;5;3;1;0;2,6
rd53_130,10,1173,627,130,5,10,0.5,6;4;5;3;1;0;2,7
rd53_130,10,1198,625,155,5,10,0.5,6;4;5;3;1;0;2,5
rd53_130,10,1167,617,124,5,10,0.5,6;4;5;3;1;0;2,8
rd53_130,10,1174,626,131,5,10,0.5,6;4;5;3;1;0;2,10
rd53_130,10,1202,628,159,5,10,0.5,6;4;5;3;1;0;2,9
rd53_130,10,1201,629,158,5,10,0.5,6;3;1;4;0;2;5,1
rd53_130,10,1212,626,169,5,10,0.5,6;3;1;4;0;2;5,3
rd53_130,10,1225,630,182,5,10,0.5,6;3;1;4;0;2;5,4
rd53_130,10,1233,631,190,5,10,0.5,6;3;1;4;0;2;5,6
rd53_130,10,1224,625,181,5,10,0.5,6;3;1;4;0;2;5,5
rd53_130,10,1218,631,175,5,10,0.5,6;3;1;4;0;2;5,7
rd53_130,10,1209,630,166,5,10,0.5,6;3;1;4;0;2;5,9
rd53_130,10,1191,626,148,5,10,0.5,6;3;1;4;0;2;5,8
rd53_130,10,1233,631,190,5,10,0.5,6;3;1;4;0;2;5,10
rd53_130,10,1229,634,186,5,10,0.5,6;3;1;4;0;2;5,2
rd53_130,10,1202,638,159,5,10,0.5,0;3;1;4;6;5;2,2
rd53_130,10,1190,621,147,5,10,0.5,0;3;1;4;6;5;2,1
rd53_130,10,1255,630,212,5,10,0.5,0;3;1;4;6;5;2,4
rd53_130,10,1190,626,147,5,10,0.5,0;3;1;4;6;5;2,6
rd53_130,10,1204,625,161,5,10,0.5,0;3;1;4;6;5;2,5
rd53_130,10,1248,636,205,5,10,0.5,0;3;1;4;6;5;2,3
rd53_130,10,1200,623,157,5,10,0.5,0;3;1;4;6;5;2,8
rd53_130,10,1197,633,154,5,10,0.5,0;3;1;4;6;5;2,9
rd53_130,10,1204,622,161,5,10,0.5,0;3;1;4;6;5;2,10
rd53_130,10,1209,631,166,5,10,0.5,0;3;1;4;6;5;2,7
rd53_130,10,1212,640,169,5,10,0.5,0;3;4;6;1;5;2,2
rd53_130,10,1221,641,178,5,10,0.5,0;3;4;6;1;5;2,1
rd53_130,10,1223,635,180,5,10,0.5,0;3;4;6;1;5;2,3
rd53_130,10,1200,635,157,5,10,0.5,0;3;4;6;1;5;2,5
rd53_130,10,1199,633,156,5,10,0.5,0;3;4;6;1;5;2,6
rd53_130,10,1205,636,162,5,10,0.5,0;3;4;6;1;5;2,8
rd53_130,10,1218,638,175,5,10,0.5,0;3;4;6;1;5;2,10
rd53_130,10,1243,639,200,5,10,0.5,0;3;4;6;1;5;2,4
rd53_130,10,1215,631,172,5,10,0.5,0;3;4;6;1;5;2,7
rd53_130,10,1195,626,152,5,10,0.5,0;3;4;6;1;5;2,9
rd53_130,10,1214,633,171,5,10,0.5,5;3;6;1;2;0;4,1
rd53_130,10,1213,636,170,5,10,0.5,5;3;6;1;2;0;4,4
rd53_130,10,1248,641,205,5,10,0.5,5;3;6;1;2;0;4,3
rd53_130,10,1204,633,161,5,10,0.5,5;3;6;1;2;0;4,2
rd53_130,10,1225,628,182,5,10,0.5,5;3;6;1;2;0;4,5
rd53_130,10,1188,637,145,5,10,0.5,5;3;6;1;2;0;4,6
rd53_130,10,1175,623,132,5,10,0.5,5;3;6;1;2;0;4,7
rd53_130,10,1207,635,164,5,10,0.5,5;3;6;1;2;0;4,8
rd53_130,10,1233,637,190,5,10,0.5,5;3;6;1;2;0;4,9
rd53_130,10,1190,636,147,5,10,0.5,5;3;6;1;2;0;4,10
rd53_130,10,1248,640,205,5,10,0.5,0;2;5;4;1;3;6,2
rd53_130,10,1197,637,154,5,10,0.5,0;2;5;4;1;3;6,4
rd53_130,10,1203,630,160,5,10,0.5,0;2;5;4;1;3;6,3
rd53_130,10,1192,636,149,5,10,0.5,0;2;5;4;1;3;6,1
rd53_130,10,1212,635,169,5,10,0.5,0;2;5;4;1;3;6,6
rd53_130,10,1245,642,202,5,10,0.5,0;2;5;4;1;3;6,9
rd53_130,10,1220,641,177,5,10,0.5,0;2;5;4;1;3;6,7
rd53_130,10,1201,637,158,5,10,0.5,0;2;5;4;1;3;6,5
rd53_130,10,1229,638,186,5,10,0.5,0;2;5;4;1;3;6,10
rd53_130,10,1247,633,204,5,10,0.5,0;2;5;4;1;3;6,8
rd53_130,10,1195,628,152,5,10,0.5,2;6;4;5;3;1;0,2
rd53_130,10,1189,628,146,5,10,0.5,2;6;4;5;3;1;0,1
rd53_130,10,1169,634,126,5,10,0.5,2;6;4;5;3;1;0,5
rd53_130,10,1181,629,138,5,10,0.5,2;6;4;5;3;1;0,3
rd53_130,10,1184,631,141,5,10,0.5,2;6;4;5;3;1;0,6
